Question,Answer,ResponseTime,Context
When was VNU established?,VNU was established in 1956,1.2449584007263184,Không tìm thấy ngữ cảnh
How many students does VNU have in 2022?,"the number of students at VNU in 2022 is [150,000]",2.6389358043670654,Không tìm thấy ngữ cảnh
What is VNU’s English motto?,VNU's English motto is 'Knowledge for a Better World',1.6749701499938965,Không tìm thấy ngữ cảnh
Who is VNU’s President?,Nguyễn Văn Từ,1.183305025100708,Không tìm thấy ngữ cảnh
How many member universities are in VNU?,VNU has 4 member universities,0.9779596328735352,Không tìm thấy ngữ cảnh
VNU global ranking by THE (2025)?,VNU (Vietnam National University) is ranked #301-400 globally,2.8082363605499268,Không tìm thấy ngữ cảnh
Where is VNU headquartered?,"VNU headquarters is located in Hanoi, Vietnam",1.2179229259490967,Không tìm thấy ngữ cảnh
Oldest VNU predecessor?,University of Indochina,0.701087236404419,Không tìm thấy ngữ cảnh
High schools under VNU?,"Here are some high schools under Vietnam National University (VNU):

* Hanoi University of Education
* Hanoi University of Science and Technology
* Ho Chi Minh City University of Technology
* Da Nang University of Science and Technology
* Can Tho University of Science and Technology

Note: This list may not be exhaustive or up-to-date, as information about high schools under VNU may change over time",7.0397233963012695,Không tìm thấy ngữ cảnh
Which university is at 334 Nguyễn Trãi?,University of Technology,0.6473550796508789,Không tìm thấy ngữ cảnh
Former name of VNU-HUS?,VNU University of Science and Technology (VNU-HUS),1.3758974075317383,Không tìm thấy ngữ cảnh
How many labs in VNU-HUS?,There are 15 labs at VNU-HUS,1.3643743991851807,Không tìm thấy ngữ cảnh
When was VNU-USSH established?,VNU-USSH was established in 1956,1.4436635971069336,Không tìm thấy ngữ cảnh
VNU-USSH English motto?,VNU-USSH English motto: 'Knowledge for Service',1.7436835765838623,Không tìm thấy ngữ cảnh
Rector of VNU-USSH?,Rector of VNU-USSH: Dr. Nguyễn Văn Hải,2.0423176288604736,Không tìm thấy ngữ cảnh
Unique Japanese program at all levels?,"Sure! Here's my response:

Unique Japanese program at all levels:

* JLPT (Japanese Language Proficiency Test) for language proficiency assessment
* N1-N5 levels for different levels of proficiency
* JFYT (Japanese for Young Learners) program for children aged 3-12
* ALT (Assistant Language Teacher) program for non-native English speakers teaching English in Japan",7.81229567527771,Không tìm thấy ngữ cảnh
